WordId,TestId,PartOfSpeech,Description,Example,Source
16,3,noun,"the information or situation around an idea, event, or something that is said","When you have difficulty understanding a new word, look at the context. The sentence around the word might tell the meaning.",Magoosh
17,3,verb,"to place extra importance on one part extra importance placed on one part pressure, strain, tension; worry","If you stress the wrong words or sounds when speaking English, you may not be understood. I believe we should place greater stress on improving education. Final exams are soon, so stress levels are high among students.",Magoosh
18,3,adjective,enough in amount for what is needed,"Because of weather changes, farms couldn't grow sufficient rice to feed the country last year.",Magoosh
19,3,verb,to eat to use up (a resource) ,"Yeast, which is used to make beer, consumes sugars to create alcohol. No country consumes more oil than the U.S.A. does.",Magoosh
20,3,verb,to put your name or other information in a list for something to identify and show on a tool for measuring,"If you'd like to buy a meal plan, you can register at the student affairs office. The bomb was so strong that far-away weather balloons registered the heat.",Magoosh
21,3,adverb,"however, regardless","The decision was dangerous. Nevertheless, Hitler attacked Russia.",Magoosh
22,3,noun,an online toefl prep product used by thousands of students. learn more at toefl.magoosh.com,"After using Magoosh, Arjun improved his TOEFL score by 8 points.",Magoosh
23,3,verb,to choose chosen as the best from a group,"There are four different math courses you may select from in your first year. Harvard students are a select group of very intelligent, successful students who are often from rich families.",Magoosh
24,3,adverb,"therefore, so, as a result","The evidence is false; hence, the conclusion is also false.",Magoosh
25,3,adjective,"short (about time, not length)","Before we begin class, let me briefly introduce myself.",Magoosh
26,3,adjective,"correct (about information, not opinions); on target",That test is not an accurate test of intelligence.,Magoosh
27,3,noun,an idea or belief about how something works,There are many theories about why we dream.,Magoosh
28,3,verb,"to name, to show or figure out what something is",Scientists have not been able to identify the language written on the rocks.,Magoosh
29,3,noun,"an important characteristic, a property to include as an important piece","The sound made by ""r"" is one of the most difficult features of spoken English. The university's new student housing features larger rooms than the old building did.",Magoosh
30,3,noun,"a plan or task to reach a specific goal to predict the measurement of something in the future from present measurements to send out, to throw (light, energy, images)","Cleaning out the storage room was a big project, but it's nice to see it empty, now. Based on this year's success, Apple is projecting similar growth next year, too. Hoping to communicate with aliens, scientists have been projecting radio messages into space for many years.",Magoosh
31,3,preposition,even with (when an event is surprising because of some difficulty),We enjoyed our vacation despite the rain.,Magoosh
32,3,adverb,"also, in addition","Kenya has beautiful weather and, furthermore, does not have long nights in the winter.",Magoosh
33,3,adjective,not changing and not stopping; continuous,The river flows constantly through the year and never freezes.,Magoosh
34,3,noun,an idea which explains something but is unproven,The hypothesis that the Earth is growing was shown to be false.,Magoosh
35,3,adjective,able to do,"Near the age of twelve months, children are capable of walking.",Magoosh
36,3,verb,to try to understand something better by closely looking at its details,The accountant was too busy with paperwork to analyze the report that said the company had no money.,Magoosh
37,3,adjective,important or big enough that you should notice or pay attention,Most animals spend a significant amount of their time looking for food.,Magoosh
38,3,verb,"to work; to do what something should do what something does, its purpose","I dropped my phone into a swimming pool, but it still functions, amazingly. The hair on the human head has no clear function.",Magoosh
39,3,verb,"to limit, to make some actions impossible",This parking area is restricted: only university students may use it.,Magoosh
40,3,verb,"to include, to have as a part",The study of architecture involves both art and science.,Magoosh
41,3,verb,"to be a sign of, to show",The way you speak and act indicates your emotions.,Magoosh
42,3,verb,to place extra importance on one part,"Most modern art emphasizes creativity and emotion, not skill.",Magoosh
43,3,verb,to try to find answers to questions about something; to research,Doctors are investigating a newly discovered plant that might help to fight cancer.,Magoosh
44,3,verb,"to show an example of, to prove with evidence","At eight years old, Mozart demonstrated his musical ability in London.",Magoosh
45,3,verb,the direction or way in which something is changing,Today's computer culture is trending toward more touch-screen technology.,Magoosh
46,3,noun,a long speech about one topic that teaches (especially in a classroom) to give a long speech about a topic when trying to teach,"Professor Jackson's lectures are too long; I always fall asleep. When I was in high school, my father often lectured me on the dangers of alcohol.",Magoosh
47,3,noun,"information, facts",We collect data on the oceans' temperatures every year.,Magoosh
48,3,verb,to believe without proof,"Ahmed assumed his forgetful professor wouldn't remember their meeting, but the professor was already waiting for him in her office.",Magoosh
49,3,verb,to explain with an example or picture,Peter illustrated his point by telling a short story.,Magoosh
50,3,verb,to need for a specific purpose; to set as the minimum,"All life, plants and animals included, requires water.",Magoosh
51,3,verb,to respond; to act in answer to,"Mothers react quickly to their babies' cries, even in the middle of the night.",Magoosh
52,3,adjective,complicated; having many different parts and difficult to understand,"The science behind the atomic bomb used in World War II was highly complex at the time, but it is simple compared to today's nuclear science.",Magoosh
53,3,noun,"an observation, note, or response to say a short response or opinion about a given topic","The professor was angry about the negative comments made about his teaching style. A smart politician, the prime minister refused to comment on the criticisms of her newest budget plan.",Magoosh
54,3,verb,to finally do something you have been trying hard to do,"The best students know that to achieve good grades, they have to study every day.",Magoosh
55,3,verb,to join or take part (in an activity),The teacher was surprised when every student participated in the math game.,Magoosh
56,3,verb,to make larger; to give more detail on a subject,"Blowing air into a balloon will cause it to expand, but if you blow too much air, it will explode!",Magoosh
57,3,adjective,easily understood or seen,The results of the election were so obvious that the loser admitted defeat before voting was finished.,Magoosh
58,3,verb,to make as big as possible; to use or do as completely as possible,"In order to maximize the number of people that can fit on the plane, the airline took out the restrooms.",Magoosh
59,3,verb,to answer to react,"Waiters who respond to customers' questions with a smile generally get more money. If you scare a turtle, it will respond by hiding in its shell.",Magoosh
60,3,verb,to get (especially when you will continue to get more),"Janice isn't a doctor yet, but from her studies she is slowly acquiring the knowledge and skills she'll need.",Magoosh
61,3,verb,to change; to make different; to have an effect,Which language we speak affects how we think about the world.,Magoosh
62,3,noun,a range or amount of time,Computer technology changed a lot in the period between 1980 and 2000.,Magoosh
63,3,noun,something difficult to suggest a fight or argument; to disagree or try to fight somebody to say something isn't true,"New medicines face many challenges before they can be put in stores. In order to get the attention of females, males of many animal species will challenge each other in different ways. Einstein's writings challenged many ideas of the time.",Magoosh
64,3,adjective,"able to be reached, used, or bought","The advisor was not available to meet all day Monday, so the student had to come back on Tuesday.",Magoosh
65,3,verb,to happen,"The sinking of the Titanic occurred on the night of April 14, 1912.",Magoosh
66,3,verb,to help or aid,"The box was too big to carry, so John asked the store manager to assist him.",Magoosh
67,3,verb,to pass from one person or thing to another,Sally transferred all of her money from American National Bank when she heard they were closing.,Magoosh
68,3,noun,result; effect; what happens because of an event,"If you hurt the people around you, there will be unwanted consequences.",Magoosh
69,3,adjective,clearly seen or understood; obvious,Dogs' feelings are usually evident in their actions.,Magoosh
70,3,noun,the ability to go into (when somebody or something must allow you to enter) to go into; to reach (when able to or allowed to enter),"Only students have access to the university library. There is a large amount of oil under the ice, but we can't access it.",Magoosh
71,3,adjective,closely connected to the topic and therefore important,I think Professor McGarry can give you some relevant books to help you write that essay.,Magoosh
72,3,verb,to organize and manage (an event that takes careful planning and control),My research team is conducting a study on how the internet is changing dating in five countries.,Magoosh
73,3,noun,one of a number of pieces which come together to create a whole,"Every ant's body has three sections: a head, a thorax (where the legs are), and an abdomen (the back).",Magoosh
74,3,verb,to say which one or clearly point to which one,The king told the hero that he could marry one of the princesses but did not specify which one.,Magoosh
75,3,noun,an area of land,"Although most of the Japanese exchange students come from Osaka, in the south, Akiko comes from Sapporo, in the northern region of Japan.",Magoosh
76,3,adjective,"happening before the one happening now (of a thing, event, or date)",Soojin thought her science class was really hard after studying only literature in the previous year.,Magoosh
77,3,adjective,of the mind,Many mental problems are still not well understood. We often don't know what causes them nor how to stop them from happening.,Magoosh
78,3,adjective,not very important; small in size,The old actress was sad she had only a minor role in the new movie.,Magoosh
79,3,noun,where something comes from,Do not trust books that give information without listed sources. The facts could be false.,Magoosh
80,3,noun,the situation; facts or environment around an event,My professor only gives extra time to finish essays under special circumstances. Normally it's not allowed.,Magoosh
81,3,verb,to find or search for more information about something information collected about something (usually academic),"After growing up on an island, Malika hoped to research ocean temperatures in graduate school. Dr. Stanislaus was famous for his research on changes in health education over the past 100 years.",Magoosh
82,3,verb,to say no to something offered; to refuse or decline,"After applying to ten schools, Lucas was rejected by nine of them.",Magoosh
83,3,verb,to agree; to decide; to solve a problem or argument,"Even after meeting for hours, the government leaders still could not resolve their argument over new taxes.",Magoosh
84,3,verb,to take away or take out,The grocery store removed all of the milk after the government said it was unsafe to drink.,Magoosh
85,3,verb,to continue to keep alive; to keep in good state or condition to continue to say although people disagree,"China has maintained a friendship with the U.S., although the two countries often have different needs and ideas. These roads are so badly maintained that they're difficult to drive on. Until his death, Christopher Columbus maintained that he had sailed to Asia, not America.",Magoosh
86,3,verb,to build,"The land flooded every year, so it was unsafe to construct buildings on it.",Magoosh
87,3,verb,to communicate without saying specifically; to lead to (a conclusion),"The president implied that he would not support the new law against selling tobacco, but he didn't say it clearly.",Magoosh
88,3,noun,a place to find valuable information including study plans and toefl tips. learn more at toefl.magoosh.com,Sam used the 1-month study plan on the Magoosh TOEFL blog to score well on the exam.,Magoosh
89,3,noun,the state of touching having possible or normal communication communicating (as by email or phone especially) to give or get specific information,"An electrical wire in contact with a pool of water can be extremely dangerous. Liam is still in contact with many of his high-school teachers, surprisingly. The woman at the help desk told me to contact the student affairs office if I want to change rooms.",Magoosh
90,3,noun,"the way a group of people living in one area normally acts, including arts, style, food, and how people talk to and act with each other","When living in another country, it can be very difficult to become comfortable in the new culture.",Magoosh
91,3,adjective,single or separated; only one of,"Joan was surprised that the ten books she ordered from the internet came together, but in individual boxes.",Magoosh
92,3,noun,"some saved material that can be used for a purpose (especially money, oil, or books) ",Many of the richest countries have surprisingly few natural resources and must buy oil from other countries. Use the library during your studies; it's full of great resources.,Magoosh
93,3,noun,a plan of action to reach a desired goal,The debate team spent the evening discussing their strategy for defeating the other team,Magoosh
94,3,adjective,of the body (not the mind) concrete (something real that you can touch or feel),"Cleaning up the campus garden was tiring, physical work. Katerina doesn't like paying for music without a physical copy, such as a CD.",Magoosh
95,3,verb,"to form an idea of the amount, number, or value of something","Students are evaluated by their grades on tests, homework, essays, and in-class interaction.",Magoosh
96,3,verb,to be in or on a space; to fill a space,The dentist's office occupied the entire fourth floor of the building.,Magoosh
97,3,verb,to look at; to think about; to give attention to the center of attention; the most important part,"I could not focus on my homework in the library because someone was playing music very loudly. The focus of Justin's essay was not clear to the professor, so he received a low grade.",Magoosh
98,3,noun,a name or phrase given to a group of things to identify them (often negative) to give a label to something,"The meaning of the label ""punk"" has changed greatly in the last 30 years. Children are often unkind and label others who look different as outsiders.",Magoosh
99,3,noun,first in importance,The primary cause of unhappiness is not about money—it is bad health.,Magoosh
100,3,adjective,"very important, or large in size",The exam score is a major part of the final class grade.,Magoosh
101,3,verb,to depend on; to need in order to continue well,"In many countries, children rely on their parents for food, money, and housing until they are over 20 years old.",Magoosh
102,3,noun,possible ability that might be used in the future having the ability to do something in the future,Wind and solar energy have the potential to replace oil. China is potentially the next world leader.,Magoosh
103,3,adjective,yearly; happening every year,Everyone in Manchester was excited about the annual game between the city's two soccer teams.,Magoosh
104,3,verb,"to argue, usually in a formal, polite way a formal, polite argument",The importance of space travel is strongly debated. Watching the presidential debates on TV did not help me decide who to vote for.,Magoosh
105,3,verb,to move something a short distance a small change in position or direction,Please help me shift the table so it is easier for people to sit down. The coach's recent shift in strategy is helping the team win more games.,Magoosh
106,3,noun,work; effort,Juan was surprised at how much labor was needed to finish his project on time.,Magoosh
107,3,verb,to give something (often money); to help reach a goal to add to the cause of something bigger,"Over the past three years, my parents have not contributed to my university tuition. I smoked a lot when I was younger, and that has contributed to my health problems today.",Magoosh
108,3,verb,"to be a different size, amount, or character when compared to something else in a similar group",The restaurants in this area vary greatly in quality and price.,Magoosh
109,3,noun,"the distance between two things (like area, time, or intelligence) to be between a set minimum and maximum","The range of scores on the test was large. In the company, the age of the workers ranges from 25 to 75.",Magoosh
110,3,noun,the location of something,The people of the city voted for a site downtown as the location of the new sports stadium.,Magoosh
111,3,verb,to figure out or explain the meaning of something,The students could not interpret the extremely old book because the pages were hard to read.,Magoosh
112,3,noun,a belief; an idea,I think the professor's notion of fun was different from the students' notion of fun.,Magoosh
113,3,verb,to create a connection between two or more things a connection between two things,The news story linked the president's success with the improved economy. What is the link between success in life and in education?,Magoosh
114,3,adjective,to have knowledge of,"As Helen drove away from the gas station, she wasn't aware that her lights were off until she turned onto a dark street.",Magoosh
115,3,noun,the study of knowledge or a set of theories knowledge and thought a basic idea of a person or organization that affects their actions,"Philosophy has always tried to answer the question ""What is the meaning of life?"" My philosophy is that if you can do something today, you shouldn't wait until tomorrow.",Magoosh
116,3,noun,a system of connected pieces (especially for transportation or communication),"The typhoon destroyed the network of roads, which has made it hard to bring supplies and first aid to the town.",Magoosh
117,3,adjective,equal,A shoe size of 30 in Japan is equivalent to size 13 in the USA.,Magoosh
118,3,verb,to give out something,"The teacher distributed tests to the class, and the students were happy to see they did well.",Magoosh
119,3,verb,to get or secure something,"After lots of looking, Jorge obtained a job and apartment in New York City.",Magoosh
120,3,noun,a job or function; a position,The student class president has an important role.,Magoosh
121,3,noun,a set way of thinking or a set feeling about something or someone,Zach always has a positive attitude when he has to deal with a problem at work.,Magoosh
122,3,verb,to roughly determine the value or number of something; to guess a number using some information,Be careful to not forget any costs for the year when you estimate your budget.,Magoosh
123,3,verb,to make something possible,The classes in college will enable you to find a good job.,Magoosh
124,3,verb,"to spend money, energy, or time on something hoping for good results later to spend money in the hopes of making more money, usually in property, financial shares, or some other activity","If you want to learn another language, you will have to invest a lot of your free time. Jamie invested in an education company that he thought would succeed and make him rich.",Magoosh
125,3,verb,to give an event or person credit for something (like a work of art or a speech) a quality or feature that is an important part of something,"The museum director attributed the recently discovered painting to Van Gogh. All of his movies have a few attributes in common: for example, there is little conversation and a lot of music.",Magoosh
126,3,verb,to show or reveal something that was hidden,The politician's crimes were exposed and he was forced to leave his position.,Magoosh
127,3,verb,to be a close match to send letters back and forth,This new paint for the room does not correspond to the old paint. My mother and father corresponded for almost two years before meeting in person.,Magoosh
128,3,noun,a set of beliefs or a culture that is passed from family to family over a long period of time,Chris's favorite tradition is eating ham on Christmas.,Magoosh
129,3,noun,the rank or social class of someone or something the current situation that something is in,"The status of women has slowly improved over the past 100 years, and it continues to improve. What's the status of the new library? Are they finished building it yet?",Magoosh
130,3,verb,"to disagree with each other; to be impossible together an argument, long battle, or difference of opinions","We want to eat delicious food, but that sometimes conflicts with our need to be healthy. The conflict in Syria has forced many people to leave the country.",Magoosh
131,3,adjective,happening or being before,The new CEO of Yahoo called the prior CEO of the company to get a better understanding of the company.,Magoosh
132,3,adjective,clearly different from another thing,There are at least five distinct types of turtle living on the island.,Magoosh
133,3,verb,to help something continue; to keep going,No animals or plants can sustain life without water.,Magoosh
134,3,noun,a sample of lesson videos and practice questions to see if magoosh is right for you. learn more at toefl.magoosh.com,Margaret tried the Magoosh free trial to determine if the premium Magoosh service was worth purchasing.,Magoosh
135,3,verb,to have control over a process so that it functions properly,Parents regulate the amount of time kids spend playing games on their phones.,Magoosh
136,3,verb,to focus attention on something to come together into a smaller space,You must learn to concentrate to be successful on the test. The protests were concentrated in the city parks.,Magoosh
137,3,adjective,large enough or important enough to get special notice,A considerable number of popular sports were invented in only the last 100 years.,Magoosh
138,3,verb,"to politely say no to an invitation or offer to become less, fewer, or smaller (usually of something good) a slow continuous loss of value, power, or strength","I declined dinner because I had plans to eat with my family instead. For ten years, the number of fish in the river has declined. Many people say that America is in decline.",Magoosh
139,3,noun,other possibility or option different; other than the main option,The menu includes alternatives for students who don't eat meat. Many words in these flashcards have alternative definitions.,Magoosh
140,3,verb,to live (in a place),I reside in sunny California.,Magoosh
141,3,noun,"something good coming from an action, agreement, idea, or plan","The president flew around the country, talking about the benefits of the new health care law.",Magoosh
142,3,noun,a group of people living or working together,The Spanish-speaking community within New York City includes millions of people.,Magoosh
143,3,noun,one of several things that covers something else to cover something with several coverings,Layers of paint on the steel bridge will protect it from salt water. Sebastian layered the sandwich with all my favorite meats and cheeses.,Magoosh
144,3,noun,"the running of something or an organization (business, school, government, etc); the person or people in charge of running an organization",The university administration cancelled all school events after a bad storm left most buildings without electricity.,Magoosh
145,3,verb,to attach something so that it won't come off to get something important (especially when difficult) to be safe; to be well attached,Please tightly secure the surfboards on top of the car. Animals in cold areas often work hard to secure food for the winter. Your money will be more secure in a bank.,Magoosh
146,3,adjective,"found or happening inside (a body, organization, or thing)",The US government has had lots of problems ever since internal messages were published on news websites.,Magoosh
147,3,noun,"control or responsibility (over people, area, or laws)",Only Congress has the authority to make and pass laws for the country.,Magoosh
148,3,adjective,"not likely to change, fall, or move; secure (in employment, finances, housing, etc)",Make sure the ladder is stable before you climb up it!,Magoosh
149,3,adjective,"not where it is expected, missing","Little Amy smiled up at me, her tongue poking through the hole formed by her absent front teeth.",Magoosh
150,3,noun,a sudden loss of power or success,An inability to match the lower prices of its competitors led to the company's downfall.,Magoosh
151,3,verb,to give permission,"The young student dreamed of studying abroad, but her parents would not consent to her leaving for a foreign country.",Magoosh
152,3,verb,to leave one area to live in another,"The winters felt longer and longer every year, until eventually John and Louise decided to migrate south to a warmer region.",Magoosh
153,3,adjective,very well known and respected as high quality,The Olympic Games are possibly the most prestigious athletic competitions in the world.,Magoosh
154,3,noun,a danger,The ice and rain made the road a hazard even to drivers who knew it well.,Magoosh
155,3,verb,to make happy or satisfied,"Mrs. Iyer was not expecting her children to come visit her for Mother's Day, so she was extremely gratified when they did.",Magoosh
156,3,verb,to stay for longer than expected,"Although the invitation clearly stated that the party would end at midnight, there were a handful of guests still lingering at 2:00AM.",Magoosh
157,3,verb,"to officially order a new rule, tax, or punishment",We'll soon find out what punishment will be imposed in response to the test results showing the football player used performance-enhancing drugs.,Magoosh
158,3,verb,to continue to exist although something/someone tries to stop it,"Mary began to fear she would fail and die while trying to swim across the English Channel, but she persisted and made it across.",Magoosh
159,3,verb,make someone do something,"Clara hoped her son would clean his room on his own, but eventually she had to compel him by threatening to take away his television.",Magoosh
160,3,noun,a small amount or individual used for studying the whole thing or group,The scientist broke off a chip of the mysterious glowing rock and placed the specimen under the microscope to try to identify it.,Magoosh
161,3,noun,a system made of levels of power,"Chickens in groups form a hierarchy known as a ""pecking order,"" which allows the stronger birds to eat first and have first choice of mates.",Magoosh
162,3,verb,to help the growth of something,A good teacher not only teaches students how to do well on tests; a good teacher fosters curiosity and excitement to learn in her students.,Magoosh
163,3,adjective,not made correctly and not working,"Joan took her car back to the dealer who had sold it to her, asking that lock be repaired for free since it never worked and was clearly defective.",Magoosh
164,3,adjective,as a decoration,"When Harry tried to eat an apple in the lobby of a well decorated hotel, he was surprised to find it was made of wax—the fruit was ornamental!",Magoosh
165,3,noun,a person who actively supports an idea,Martin Luther King Jr. was a tireless advocate for the rights of African-Americans in the United States.,Magoosh
166,3,verb,to become too much to handle,"Jesse thought he could work two jobs while studying full-time, but his new schedule quickly overwhelmed him, and his grades soon dropped.",Magoosh
167,3,noun,the force from moving,A train moving at even the slowest speeds has enough momentum to make stopping difficult.,Magoosh
168,3,noun,"a disadvantage, a negative part","While the new office was cleaner and in a nicer part of town, the total lack of windows was a major drawback that changed the team's mind.",Magoosh
169,3,verb,to make two things be logical together,Peggy was unable to reconcile her kind friend Jane with the murderous character Jane played on television.,Magoosh
170,3,verb,to try very hard to accomplish,"Ten-year-old Timmy fell down a lot while he was endeavoring to ride an adult's bicycle, but he eventually succeeded.",Magoosh
171,3,verb,to communicate information,A skilled actor can convey complicated emotions simply through facial expressions and body language.,Magoosh
172,3,verb,to improve or make complete by pairing well,"Cecilia is an expert cook, especially when matching flavors—she always knows the perfect appetizer to complement any dish.",Magoosh
173,3,adverb,without much difficulty or delay,"Because Derek adored the famous scientist, he readily agreed to work for her without being paid.",Magoosh
174,3,adjective,not easy or impossible to bend,"Tetanus toxin is famous for its ability to stop victims from moving and for the strained, tense, and rigid look of their muscles.",Magoosh
175,3,noun,a strong disagreement among many people,Laws on gun control in the U.S. have caused controversy for many years.,Magoosh
176,3,adjective,having more than one possible meaning,"The coach told his team, ""Move to that side of the field,"" but because he did not point, his directions were ambiguous, and nobody knew where to go.",Magoosh
177,3,adjective,"very little, not enough","When gasoline was expensive and scarce, people found ways to travel without using their cars.",Magoosh
178,3,adjective,logical and understandable,"Sadly, the most popular politicians are rarely the ones with the most coherent arguments.",Magoosh
179,3,noun,a small amount of color,"To prevent his famous passengers from being seen by the public, the driver applied a heavy tint to his car's windows.",Magoosh
180,3,noun,the time period of an important historical situation,"It is interesting to walk through a museum of eighteenth-century history, but few people would want to live in an era without electricity.",Magoosh
181,3,verb,to try to prevent; show opposition to,"The government's primary job should be to deter paths to war, not find reasons to start them.",Magoosh
182,3,preposition,by going through or using,The highway is full of traffic at this hour—it would be faster to travel via smaller streets.,Magoosh
183,3,verb,"to send out into the air (used for light, sound, smell, etc.)","The single lighthouse shone into the dark, emitting pulses of light that could be seen for miles.",Magoosh
184,3,adjective,continuing forever without pause,"Although a perpetual motion machine would be an amazing source of energy, such things do not exist; everything comes to a stop at some point.",Magoosh
185,3,verb,win a victory over,"Determined to make more friends this year, Finn overcame his shyness and introduced himself to the new student.",Magoosh
186,3,noun,something that limits or restricts,"We don't have many resources, so we'll have to work with some very tight constraints.",Magoosh
187,3,adjective,planned but not definite,"Nisha and her husband wanted to buy plane tickets for summer vacation, but they wisely did not while their schedules were still tentative.",Magoosh
188,3,adjective,"beautiful, graceful","The carefully practiced, elegant movements of the ballet followed the beautiful sounds of the orchestra.",Magoosh
189,3,verb,to reach the highest or most developed point,"Beethoven's musical genius culminated in the 9th Symphony, which many consider his greatest work.",Magoosh
190,3,verb,to acknowledge defeat,I concede. You win!,Magoosh
191,3,verb,to force to move to another place,"The repeated floods in the capital city have displaced more than 10,000 people, many of whom are now living in their cars or on the streets.",Magoosh
192,3,adjective,complicated and difficult to understand,"Instead of solving the math problem in three simple steps, Kumar used a convoluted solution requiring fifteen steps.",Magoosh
193,3,adjective,too large and difficult to handle,"In many military exercises, soldiers have to carry bulky backpacks for long distances to test their strength.",Magoosh
194,3,adjective,very large or wide,"Sinbad had always known that the desert was big, but he had no idea how vast it truly was until he crossed it on foot.",Magoosh
195,3,verb,to match the rule or standard,"Before every yearly government inspection, the cooks would chase away mice to make the restaurant look like it conformed to cleanliness guidelines.",Magoosh
196,3,verb,to bend into a different shape,"The wood of the guitar warped after several hours of sitting in its owner's car, which grew extremely hot in the sun.",Magoosh
197,3,verb,to cover part of (used for two similar things); be in the same place or time,"I'd like to go both to Jon's birthday party and to my little sister's concert, but they overlap by almost three hours.",Magoosh
198,3,adjective,done before someone else can do it,"Just as Martha was about to take the only cookie left on the table, Noah preemptively grabbed it.",Magoosh
199,3,verb,to take out by force,"Some cheeses aren't vegetarian because they're made using a liquid called ""rennet,"" which is extracted from cow's stomachs.",Magoosh
200,3,adjective,clearly unusual (used for people or behavior),"Mozart was well-known for his eccentric behavior, often speaking words backward to confuse those around him.",Magoosh
201,3,noun,lack of interest,"In an effort to fight indifference, the president of the college introduced a new, stricter grading system.",Magoosh
202,3,verb,to continue to do something even though it's difficult,"Sarah persevered through the storm, fighting through the cold and rain, to make her way home for Christmas.",Magoosh
203,3,adjective,polite and respectful,"Since Tom is usually extremely courteous, his sister was shocked when he served their guests spaghetti using only his hands.",Magoosh
204,3,verb,to create a basic picture or plan quickly,I sketched some of my initial thoughts before beginning work of visuals for the presentation.,Magoosh
205,3,verb,to change the shape from what it should be into something different,"The twisted mirror distorted the man's reflection, making him appear twice as tall and far too thin.",Magoosh
206,3,adjective,helping to make happen,Studying in a quiet room is conducive to learning; studying in a noisy environment makes learning harder.,Magoosh
207,3,verb,to happen at the same time,Apple's announcement of the next iPhone coincided with the release of Samsung's newest phone.,Magoosh
208,3,adjective,more than is needed; overly expensive,"Susie's wedding was extravagant, with a dinner of steak and lobster, invitations decorated with gold, and a ceremony at a castle.",Magoosh
209,3,adjective,simple and made without skill; not processed,"Once he realized he had forgotten his tent, Arpit attempted to build a crude shelter out of mud, branches, and leaves.",Magoosh
210,3,verb,to move around a large area with little direction or plan,Horses roam freely across the hills of the national park.,Magoosh
211,3,adjective,sudden and unexpected or short,The careless car in front of Elle came to such an abrupt stop that she didn't have enough time to react and crashed into the car.,Magoosh
212,3,adjective,very many; more than enough,"Although he had an abundant supply of snacks, Jim didn't want to share and lied to his guests that he only had one bag of popcorn.",Magoosh
213,3,verb,to shine or reflect small bits of light,The silver of her dress shimmered like diamonds every time the light hit it.,Magoosh
214,3,adjective,not doing what is ordered,The teenagers were defiant and refused to help when Mr. Niles ordered them to clean the mess they'd made during their food fight.,Magoosh
215,3,adjective,separate and very different,Studies as disparate as religion and biology have been brought together by research into what happens in the brain during a religious experience.,Magoosh
216,3,verb,to cause to happen,"The sound of a gunshot triggered a panic in the streets, as people ran in every direction, unsure of the source.",Magoosh
217,3,adjective,not existing anymore,The dodo bird has been extinct for more than 350 years—the last confirmed sighting was in 1662.,Magoosh
218,3,verb,to completely destroy,The earthquake completely demolished the old home—no walls were left standing.,Magoosh
219,3,adjective,very new and creating a big change,The revolutionary discovery of antibiotics like penicillin completely changed modern medicine.,Magoosh
220,3,conjunction,only if,"Provided you study hard for the exam, you should do well enough to pass the class.",Magoosh
221,3,adjective,combining well to improve both parts,"Although no one of the three ingredients in a margarita is delicious alone, the tequila, lime juice, and liqueur together are complementary.",Magoosh
222,3,adjective,causing a lot of disagreement,"When the class debate begins to bore her, Wendy loves to say something controversial and start heated arguments among her classmates.",Magoosh
223,3,adjective,"very important, necessary",Sugar is an integral ingredient in any cake recipe.,Magoosh
224,3,noun,a feeling of wanting to choose one option (often a repeated preference),"Although the inclination is to ride a bike nearer to parked cars, they can be more dangerous than moving ones, as a door may open in front of you.",Magoosh
225,3,noun,a set of rules about what to do in formal situations,Jonah followed every step of the protocol carefully to make sure the experiment was performed correctly.,Magoosh
226,3,adjective,strong and full,"Chris preferred watery, mild beers, but Bhavin preferred a beer with more robust flavor.",Magoosh
