word,definition,part of speech,example,source
register,to put your name or other information in a list for something to identify and show on a tool for measuring,"verb, verb","If you'd like to buy a meal plan, you can register at the student affairs office. The bomb was so strong that far-away weather balloons registered the heat.",Magoosh
nevertheless,"however, regardless",adverb,"The decision was dangerous. Nevertheless, Hitler attacked Russia.",Magoosh
Magoosh TOEFL,an online toefl prep product used by thousands of students. learn more at toefl.magoosh.com,noun,"After using Magoosh, Arjun improved his TOEFL score by 8 points.",Magoosh
select,to choose chosen as the best from a group,"verb, adjective","There are four different math courses you may select from in your first year. Harvard students are a select group of very intelligent, successful students who are often from rich families.",Magoosh
hence,"therefore, so, as a result",adverb,"The evidence is false; hence, the conclusion is also false.",Magoosh
brief,"short (about time, not length)",adjective,"Before we begin class, let me briefly introduce myself.",Magoosh
accurate,"correct (about information, not opinions); on target",adjective,That test is not an accurate test of intelligence.,Magoosh
theory,an idea or belief about how something works,noun,There are many theories about why we dream.,Magoosh
identify,"to name, to show or figure out what something is",verb,Scientists have not been able to identify the language written on the rocks.,Magoosh
feature,"an important characteristic, a property to include as an important piece","noun, verb","The sound made by ""r"" is one of the most difficult features of spoken English. The university's new student housing features larger rooms than the old building did.",Magoosh
project,"a plan or task to reach a specific goal to predict the measurement of something in the future from present measurements to send out, to throw (light, energy, images)","noun, verb, verb","Cleaning out the storage room was a big project, but it's nice to see it empty, now. Based on this year's success, Apple is projecting similar growth next year, too. Hoping to communicate with aliens, scientists have been projecting radio messages into space for many years.",Magoosh
despite,even with (when an event is surprising because of some difficulty),preposition,We enjoyed our vacation despite the rain.,Magoosh
furthermore,"also, in addition",adverb,"Kenya has beautiful weather and, furthermore, does not have long nights in the winter.",Magoosh
constant,not changing and not stopping; continuous,adjective,The river flows constantly through the year and never freezes.,Magoosh
hypothesis,an idea which explains something but is unproven,noun,The hypothesis that the Earth is growing was shown to be false.,Magoosh
capable,able to do,adjective,"Near the age of twelve months, children are capable of walking.",Magoosh
analyze,to try to understand something better by closely looking at its details,verb,The accountant was too busy with paperwork to analyze the report that said the company had no money.,Magoosh
significant,important or big enough that you should notice or pay attention,adjective,Most animals spend a significant amount of their time looking for food.,Magoosh
function,"to work; to do what something should do what something does, its purpose","verb, noun","I dropped my phone into a swimming pool, but it still functions, amazingly. The hair on the human head has no clear function.",Magoosh
restrict,"to limit, to make some actions impossible",verb,This parking area is restricted: only university students may use it.,Magoosh
involve,"to include, to have as a part",verb,The study of architecture involves both art and science.,Magoosh
indicate,"to be a sign of, to show",verb,The way you speak and act indicates your emotions.,Magoosh
emphasize,to place extra importance on one part,verb,"Most modern art emphasizes creativity and emotion, not skill.",Magoosh
investigate,to try to find answers to questions about something; to research,verb,Doctors are investigating a newly discovered plant that might help to fight cancer.,Magoosh
demonstrate,"to show an example of, to prove with evidence",verb,"At eight years old, Mozart demonstrated his musical ability in London.",Magoosh
trend,the direction or way in which something is changing,verb,Today's computer culture is trending toward more touch-screen technology.,Magoosh
lecture,a long speech about one topic that teaches (especially in a classroom) to give a long speech about a topic when trying to teach,"noun, verb","Professor Jackson's lectures are too long; I always fall asleep. When I was in high school, my father often lectured me on the dangers of alcohol.",Magoosh
data,"information, facts",noun,We collect data on the oceans' temperatures every year.,Magoosh
assume,to believe without proof,verb,"Ahmed assumed his forgetful professor wouldn't remember their meeting, but the professor was already waiting for him in her office.",Magoosh
illustrate,to explain with an example or picture,verb,Peter illustrated his point by telling a short story.,Magoosh
require,to need for a specific purpose; to set as the minimum,verb,"All life, plants and animals included, requires water.",Magoosh
react,to respond; to act in answer to,verb,"Mothers react quickly to their babies' cries, even in the middle of the night.",Magoosh
complex,complicated; having many different parts and difficult to understand,adjective,"The science behind the atomic bomb used in World War II was highly complex at the time, but it is simple compared to today's nuclear science.",Magoosh
comment,"an observation, note, or response to say a short response or opinion about a given topic","noun, verb","The professor was angry about the negative comments made about his teaching style. A smart politician, the prime minister refused to comment on the criticisms of her newest budget plan.",Magoosh
achieve,to finally do something you have been trying hard to do,verb,"The best students know that to achieve good grades, they have to study every day.",Magoosh
participate,to join or take part (in an activity),verb,The teacher was surprised when every student participated in the math game.,Magoosh
expand,to make larger; to give more detail on a subject,verb,"Blowing air into a balloon will cause it to expand, but if you blow too much air, it will explode!",Magoosh
obvious,easily understood or seen,adjective,The results of the election were so obvious that the loser admitted defeat before voting was finished.,Magoosh
maximize,to make as big as possible; to use or do as completely as possible,verb,"In order to maximize the number of people that can fit on the plane, the airline took out the restrooms.",Magoosh
respond,to answer to react,"verb, verb","Waiters who respond to customers' questions with a smile generally get more money. If you scare a turtle, it will respond by hiding in its shell.",Magoosh
acquire,to get (especially when you will continue to get more),verb,"Janice isn't a doctor yet, but from her studies she is slowly acquiring the knowledge and skills she'll need.",Magoosh
affect,to change; to make different; to have an effect,verb,Which language we speak affects how we think about the world.,Magoosh
period,a range or amount of time,noun,Computer technology changed a lot in the period between 1980 and 2000.,Magoosh
challenge,something difficult to suggest a fight or argument; to disagree or try to fight somebody to say something isn't true,"noun, verb, verb","New medicines face many challenges before they can be put in stores. In order to get the attention of females, males of many animal species will challenge each other in different ways. Einstein's writings challenged many ideas of the time.",Magoosh
available,"able to be reached, used, or bought",adjective,"The advisor was not available to meet all day Monday, so the student had to come back on Tuesday.",Magoosh
occur,to happen,verb,"The sinking of the Titanic occurred on the night of April 14, 1912.",Magoosh
assist,to help or aid,verb,"The box was too big to carry, so John asked the store manager to assist him.",Magoosh
transfer,to pass from one person or thing to another,verb,Sally transferred all of her money from American National Bank when she heard they were closing.,Magoosh
consequence,result; effect; what happens because of an event,noun,"If you hurt the people around you, there will be unwanted consequences.",Magoosh
evident,clearly seen or understood; obvious,adjective,Dogs' feelings are usually evident in their actions.,Magoosh
access,the ability to go into (when somebody or something must allow you to enter) to go into; to reach (when able to or allowed to enter),"noun, verb","Only students have access to the university library. There is a large amount of oil under the ice, but we can't access it.",Magoosh
relevant,closely connected to the topic and therefore important,adjective,I think Professor McGarry can give you some relevant books to help you write that essay.,Magoosh
conduct,to organize and manage (an event that takes careful planning and control),verb,My research team is conducting a study on how the internet is changing dating in five countries.,Magoosh
section,one of a number of pieces which come together to create a whole,noun,"Every ant's body has three sections: a head, a thorax (where the legs are), and an abdomen (the back).",Magoosh
specify,to say which one or clearly point to which one,verb,The king told the hero that he could marry one of the princesses but did not specify which one.,Magoosh
region,an area of land,noun,"Although most of the Japanese exchange students come from Osaka, in the south, Akiko comes from Sapporo, in the northern region of Japan.",Magoosh
previous,"happening before the one happening now (of a thing, event, or date)",adjective,Soojin thought her science class was really hard after studying only literature in the previous year.,Magoosh
mental,of the mind,adjective,Many mental problems are still not well understood. We often don't know what causes them nor how to stop them from happening.,Magoosh
minor,not very important; small in size,adjective,The old actress was sad she had only a minor role in the new movie.,Magoosh
source,where something comes from,noun,Do not trust books that give information without listed sources. The facts could be false.,Magoosh
circumstance,the situation; facts or environment around an event,noun,My professor only gives extra time to finish essays under special circumstances. Normally it's not allowed.,Magoosh
research,to find or search for more information about something information collected about something (usually academic),"verb, noun","After growing up on an island, Malika hoped to research ocean temperatures in graduate school. Dr. Stanislaus was famous for his research on changes in health education over the past 100 years.",Magoosh
reject,to say no to something offered; to refuse or decline,verb,"After applying to ten schools, Lucas was rejected by nine of them.",Magoosh
resolve,to agree; to decide; to solve a problem or argument,verb,"Even after meeting for hours, the government leaders still could not resolve their argument over new taxes.",Magoosh
remove,to take away or take out,verb,The grocery store removed all of the milk after the government said it was unsafe to drink.,Magoosh
maintain,to continue to keep alive; to keep in good state or condition to continue to say although people disagree,"verb, verb, verb","China has maintained a friendship with the U.S., although the two countries often have different needs and ideas. These roads are so badly maintained that they're difficult to drive on. Until his death, Christopher Columbus maintained that he had sailed to Asia, not America.",Magoosh
construct,to build,verb,"The land flooded every year, so it was unsafe to construct buildings on it.",Magoosh
imply,to communicate without saying specifically; to lead to (a conclusion),verb,"The president implied that he would not support the new law against selling tobacco, but he didn't say it clearly.",Magoosh
Magoosh TOEFL Blog,a place to find valuable information including study plans and toefl tips. learn more at toefl.magoosh.com,noun,Sam used the 1-month study plan on the Magoosh TOEFL blog to score well on the exam.,Magoosh
contact,the state of touching having possible or normal communication communicating (as by email or phone especially) to give or get specific information,"noun, noun, verb","An electrical wire in contact with a pool of water can be extremely dangerous. Liam is still in contact with many of his high-school teachers, surprisingly. The woman at the help desk told me to contact the student affairs office if I want to change rooms.",Magoosh
culture,"the way a group of people living in one area normally acts, including arts, style, food, and how people talk to and act with each other",noun,"When living in another country, it can be very difficult to become comfortable in the new culture.",Magoosh
individual,single or separated; only one of,adjective,"Joan was surprised that the ten books she ordered from the internet came together, but in individual boxes.",Magoosh
resource,"some saved material that can be used for a purpose (especially money, oil, or books) ","noun, ",Many of the richest countries have surprisingly few natural resources and must buy oil from other countries. Use the library during your studies; it's full of great resources.,Magoosh
strategy,a plan of action to reach a desired goal,noun,The debate team spent the evening discussing their strategy for defeating the other team,Magoosh
physical,of the body (not the mind) concrete (something real that you can touch or feel),"adjective, adjective","Cleaning up the campus garden was tiring, physical work. Katerina doesn't like paying for music without a physical copy, such as a CD.",Magoosh
evaluate,"to form an idea of the amount, number, or value of something",verb,"Students are evaluated by their grades on tests, homework, essays, and in-class interaction.",Magoosh
occupy,to be in or on a space; to fill a space,verb,The dentist's office occupied the entire fourth floor of the building.,Magoosh
focus,to look at; to think about; to give attention to the center of attention; the most important part,"verb, noun","I could not focus on my homework in the library because someone was playing music very loudly. The focus of Justin's essay was not clear to the professor, so he received a low grade.",Magoosh
label,a name or phrase given to a group of things to identify them (often negative) to give a label to something,"noun, verb","The meaning of the label ""punk"" has changed greatly in the last 30 years. Children are often unkind and label others who look different as outsiders.",Magoosh
primary,first in importance,noun,The primary cause of unhappiness is not about money—it is bad health.,Magoosh
major,"very important, or large in size",adjective,The exam score is a major part of the final class grade.,Magoosh
rely,to depend on; to need in order to continue well,verb,"In many countries, children rely on their parents for food, money, and housing until they are over 20 years old.",Magoosh
potential,possible ability that might be used in the future having the ability to do something in the future,"noun, adjective",Wind and solar energy have the potential to replace oil. China is potentially the next world leader.,Magoosh
annual,yearly; happening every year,adjective,Everyone in Manchester was excited about the annual game between the city's two soccer teams.,Magoosh
debate,"to argue, usually in a formal, polite way a formal, polite argument","verb, noun",The importance of space travel is strongly debated. Watching the presidential debates on TV did not help me decide who to vote for.,Magoosh
shift,to move something a short distance a small change in position or direction,"verb, noun",Please help me shift the table so it is easier for people to sit down. The coach's recent shift in strategy is helping the team win more games.,Magoosh
labor,work; effort,noun,Juan was surprised at how much labor was needed to finish his project on time.,Magoosh
contribute,to give something (often money); to help reach a goal to add to the cause of something bigger,"verb, verb","Over the past three years, my parents have not contributed to my university tuition. I smoked a lot when I was younger, and that has contributed to my health problems today.",Magoosh
vary,"to be a different size, amount, or character when compared to something else in a similar group",verb,The restaurants in this area vary greatly in quality and price.,Magoosh
range,"the distance between two things (like area, time, or intelligence) to be between a set minimum and maximum","noun, verb","The range of scores on the test was large. In the company, the age of the workers ranges from 25 to 75.",Magoosh
site,the location of something,noun,The people of the city voted for a site downtown as the location of the new sports stadium.,Magoosh
interpret,to figure out or explain the meaning of something,verb,The students could not interpret the extremely old book because the pages were hard to read.,Magoosh
notion,a belief; an idea,noun,I think the professor's notion of fun was different from the students' notion of fun.,Magoosh
link,to create a connection between two or more things a connection between two things,"verb, noun",The news story linked the president's success with the improved economy. What is the link between success in life and in education?,Magoosh
aware,to have knowledge of,adjective,"As Helen drove away from the gas station, she wasn't aware that her lights were off until she turned onto a dark street.",Magoosh
philosophy,the study of knowledge or a set of theories knowledge and thought a basic idea of a person or organization that affects their actions,"noun, noun","Philosophy has always tried to answer the question ""What is the meaning of life?"" My philosophy is that if you can do something today, you shouldn't wait until tomorrow.",Magoosh
network,a system of connected pieces (especially for transportation or communication),noun,"The typhoon destroyed the network of roads, which has made it hard to bring supplies and first aid to the town.",Magoosh
equivalent,equal,adjective,A shoe size of 30 in Japan is equivalent to size 13 in the USA.,Magoosh
distribute,to give out something,verb,"The teacher distributed tests to the class, and the students were happy to see they did well.",Magoosh
obtain,to get or secure something,verb,"After lots of looking, Jorge obtained a job and apartment in New York City.",Magoosh
role,a job or function; a position,noun,The student class president has an important role.,Magoosh
attitude,a set way of thinking or a set feeling about something or someone,noun,Zach always has a positive attitude when he has to deal with a problem at work.,Magoosh
estimate,to roughly determine the value or number of something; to guess a number using some information,verb,Be careful to not forget any costs for the year when you estimate your budget.,Magoosh
enable,to make something possible,verb,The classes in college will enable you to find a good job.,Magoosh
invest,"to spend money, energy, or time on something hoping for good results later to spend money in the hopes of making more money, usually in property, financial shares, or some other activity","verb, verb","If you want to learn another language, you will have to invest a lot of your free time. Jamie invested in an education company that he thought would succeed and make him rich.",Magoosh
attribute,to give an event or person credit for something (like a work of art or a speech) a quality or feature that is an important part of something,"verb, noun","The museum director attributed the recently discovered painting to Van Gogh. All of his movies have a few attributes in common: for example, there is little conversation and a lot of music.",Magoosh
expose,to show or reveal something that was hidden,verb,The politician's crimes were exposed and he was forced to leave his position.,Magoosh
correspond,to be a close match to send letters back and forth,"verb, verb",This new paint for the room does not correspond to the old paint. My mother and father corresponded for almost two years before meeting in person.,Magoosh
tradition,a set of beliefs or a culture that is passed from family to family over a long period of time,noun,Chris's favorite tradition is eating ham on Christmas.,Magoosh
status,the rank or social class of someone or something the current situation that something is in,"noun, noun","The status of women has slowly improved over the past 100 years, and it continues to improve. What's the status of the new library? Are they finished building it yet?",Magoosh
conflict,"to disagree with each other; to be impossible together an argument, long battle, or difference of opinions","verb, noun","We want to eat delicious food, but that sometimes conflicts with our need to be healthy. The conflict in Syria has forced many people to leave the country.",Magoosh
prior,happening or being before,adjective,The new CEO of Yahoo called the prior CEO of the company to get a better understanding of the company.,Magoosh
distinct,clearly different from another thing,adjective,There are at least five distinct types of turtle living on the island.,Magoosh
sustain,to help something continue; to keep going,verb,No animals or plants can sustain life without water.,Magoosh
Magoosh Free Trial,a sample of lesson videos and practice questions to see if magoosh is right for you. learn more at toefl.magoosh.com,noun,Margaret tried the Magoosh free trial to determine if the premium Magoosh service was worth purchasing.,Magoosh
regulate,to have control over a process so that it functions properly,verb,Parents regulate the amount of time kids spend playing games on their phones.,Magoosh
concentrate,to focus attention on something to come together into a smaller space,"verb, verb",You must learn to concentrate to be successful on the test. The protests were concentrated in the city parks.,Magoosh
considerable,large enough or important enough to get special notice,adjective,A considerable number of popular sports were invented in only the last 100 years.,Magoosh
decline,"to politely say no to an invitation or offer to become less, fewer, or smaller (usually of something good) a slow continuous loss of value, power, or strength","verb, verb, noun","I declined dinner because I had plans to eat with my family instead. For ten years, the number of fish in the river has declined. Many people say that America is in decline.",Magoosh
alternative,other possibility or option different; other than the main option,"noun, adjective",The menu includes alternatives for students who don't eat meat. Many words in these flashcards have alternative definitions.,Magoosh
reside,to live (in a place),verb,I reside in sunny California.,Magoosh
benefit,"something good coming from an action, agreement, idea, or plan",noun,"The president flew around the country, talking about the benefits of the new health care law.",Magoosh
community,a group of people living or working together,noun,The Spanish-speaking community within New York City includes millions of people.,Magoosh
layer,one of several things that covers something else to cover something with several coverings,"noun, verb",Layers of paint on the steel bridge will protect it from salt water. Sebastian layered the sandwich with all my favorite meats and cheeses.,Magoosh
administration,"the running of something or an organization (business, school, government, etc); the person or people in charge of running an organization",noun,The university administration cancelled all school events after a bad storm left most buildings without electricity.,Magoosh
secure,to attach something so that it won't come off to get something important (especially when difficult) to be safe; to be well attached,"verb, verb, adjective",Please tightly secure the surfboards on top of the car. Animals in cold areas often work hard to secure food for the winter. Your money will be more secure in a bank.,Magoosh
internal,"found or happening inside (a body, organization, or thing)",adjective,The US government has had lots of problems ever since internal messages were published on news websites.,Magoosh
authority,"control or responsibility (over people, area, or laws)",noun,Only Congress has the authority to make and pass laws for the country.,Magoosh
stable,"not likely to change, fall, or move; secure (in employment, finances, housing, etc)",adjective,Make sure the ladder is stable before you climb up it!,Magoosh
absent,"not where it is expected, missing",adjective,"Little Amy smiled up at me, her tongue poking through the hole formed by her absent front teeth.",Magoosh
downfall,a sudden loss of power or success,noun,An inability to match the lower prices of its competitors led to the company's downfall.,Magoosh
consent,to give permission,verb,"The young student dreamed of studying abroad, but her parents would not consent to her leaving for a foreign country.",Magoosh
migrate,to leave one area to live in another,verb,"The winters felt longer and longer every year, until eventually John and Louise decided to migrate south to a warmer region.",Magoosh
prestigious,very well known and respected as high quality,adjective,The Olympic Games are possibly the most prestigious athletic competitions in the world.,Magoosh
hazard,a danger,noun,The ice and rain made the road a hazard even to drivers who knew it well.,Magoosh
gratify,to make happy or satisfied,verb,"Mrs. Iyer was not expecting her children to come visit her for Mother's Day, so she was extremely gratified when they did.",Magoosh
linger,to stay for longer than expected,verb,"Although the invitation clearly stated that the party would end at midnight, there were a handful of guests still lingering at 2:00AM.",Magoosh
impose,"to officially order a new rule, tax, or punishment",verb,We'll soon find out what punishment will be imposed in response to the test results showing the football player used performance-enhancing drugs.,Magoosh
persist,to continue to exist although something/someone tries to stop it,verb,"Mary began to fear she would fail and die while trying to swim across the English Channel, but she persisted and made it across.",Magoosh
compel,make someone do something,verb,"Clara hoped her son would clean his room on his own, but eventually she had to compel him by threatening to take away his television.",Magoosh
specimen,a small amount or individual used for studying the whole thing or group,noun,The scientist broke off a chip of the mysterious glowing rock and placed the specimen under the microscope to try to identify it.,Magoosh
hierarchy,a system made of levels of power,noun,"Chickens in groups form a hierarchy known as a ""pecking order,"" which allows the stronger birds to eat first and have first choice of mates.",Magoosh
foster,to help the growth of something,verb,A good teacher not only teaches students how to do well on tests; a good teacher fosters curiosity and excitement to learn in her students.,Magoosh
defective,not made correctly and not working,adjective,"Joan took her car back to the dealer who had sold it to her, asking that lock be repaired for free since it never worked and was clearly defective.",Magoosh
ornamental,as a decoration,adjective,"When Harry tried to eat an apple in the lobby of a well decorated hotel, he was surprised to find it was made of wax—the fruit was ornamental!",Magoosh
advocate,a person who actively supports an idea,noun,Martin Luther King Jr. was a tireless advocate for the rights of African-Americans in the United States.,Magoosh
overwhelm,to become too much to handle,verb,"Jesse thought he could work two jobs while studying full-time, but his new schedule quickly overwhelmed him, and his grades soon dropped.",Magoosh
momentum,the force from moving,noun,A train moving at even the slowest speeds has enough momentum to make stopping difficult.,Magoosh
drawback,"a disadvantage, a negative part",noun,"While the new office was cleaner and in a nicer part of town, the total lack of windows was a major drawback that changed the team's mind.",Magoosh
reconcile,to make two things be logical together,verb,Peggy was unable to reconcile her kind friend Jane with the murderous character Jane played on television.,Magoosh
endeavor,to try very hard to accomplish,verb,"Ten-year-old Timmy fell down a lot while he was endeavoring to ride an adult's bicycle, but he eventually succeeded.",Magoosh
convey,to communicate information,verb,A skilled actor can convey complicated emotions simply through facial expressions and body language.,Magoosh
complement,to improve or make complete by pairing well,verb,"Cecilia is an expert cook, especially when matching flavors—she always knows the perfect appetizer to complement any dish.",Magoosh
readily,without much difficulty or delay,adverb,"Because Derek adored the famous scientist, he readily agreed to work for her without being paid.",Magoosh
rigid,not easy or impossible to bend,adjective,"Tetanus toxin is famous for its ability to stop victims from moving and for the strained, tense, and rigid look of their muscles.",Magoosh
controversy,a strong disagreement among many people,noun,Laws on gun control in the U.S. have caused controversy for many years.,Magoosh
ambiguous,having more than one possible meaning,adjective,"The coach told his team, ""Move to that side of the field,"" but because he did not point, his directions were ambiguous, and nobody knew where to go.",Magoosh
scarce,"very little, not enough",adjective,"When gasoline was expensive and scarce, people found ways to travel without using their cars.",Magoosh
coherent,logical and understandable,adjective,"Sadly, the most popular politicians are rarely the ones with the most coherent arguments.",Magoosh
tint,a small amount of color,noun,"To prevent his famous passengers from being seen by the public, the driver applied a heavy tint to his car's windows.",Magoosh
era,the time period of an important historical situation,noun,"It is interesting to walk through a museum of eighteenth-century history, but few people would want to live in an era without electricity.",Magoosh
deter,to try to prevent; show opposition to,verb,"The government's primary job should be to deter paths to war, not find reasons to start them.",Magoosh
via,by going through or using,preposition,The highway is full of traffic at this hour—it would be faster to travel via smaller streets.,Magoosh
emit,"to send out into the air (used for light, sound, smell, etc.)",verb,"The single lighthouse shone into the dark, emitting pulses of light that could be seen for miles.",Magoosh
perpetual,continuing forever without pause,adjective,"Although a perpetual motion machine would be an amazing source of energy, such things do not exist; everything comes to a stop at some point.",Magoosh
overcome,win a victory over,verb,"Determined to make more friends this year, Finn overcame his shyness and introduced himself to the new student.",Magoosh
constraint,something that limits or restricts,noun,"We don't have many resources, so we'll have to work with some very tight constraints.",Magoosh
tentative,planned but not definite,adjective,"Nisha and her husband wanted to buy plane tickets for summer vacation, but they wisely did not while their schedules were still tentative.",Magoosh
elegant,"beautiful, graceful",adjective,"The carefully practiced, elegant movements of the ballet followed the beautiful sounds of the orchestra.",Magoosh
culminate,to reach the highest or most developed point,verb,"Beethoven's musical genius culminated in the 9th Symphony, which many consider his greatest work.",Magoosh
concede,to acknowledge defeat,verb,I concede. You win!,Magoosh
displace,to force to move to another place,verb,"The repeated floods in the capital city have displaced more than 10,000 people, many of whom are now living in their cars or on the streets.",Magoosh
convoluted,complicated and difficult to understand,adjective,"Instead of solving the math problem in three simple steps, Kumar used a convoluted solution requiring fifteen steps.",Magoosh
bulky,too large and difficult to handle,adjective,"In many military exercises, soldiers have to carry bulky backpacks for long distances to test their strength.",Magoosh
vast,very large or wide,adjective,"Sinbad had always known that the desert was big, but he had no idea how vast it truly was until he crossed it on foot.",Magoosh
conform,to match the rule or standard,verb,"Before every yearly government inspection, the cooks would chase away mice to make the restaurant look like it conformed to cleanliness guidelines.",Magoosh
warp,to bend into a different shape,verb,"The wood of the guitar warped after several hours of sitting in its owner's car, which grew extremely hot in the sun.",Magoosh
overlap,to cover part of (used for two similar things); be in the same place or time,verb,"I'd like to go both to Jon's birthday party and to my little sister's concert, but they overlap by almost three hours.",Magoosh
preemptive,done before someone else can do it,adjective,"Just as Martha was about to take the only cookie left on the table, Noah preemptively grabbed it.",Magoosh
extract,to take out by force,verb,"Some cheeses aren't vegetarian because they're made using a liquid called ""rennet,"" which is extracted from cow's stomachs.",Magoosh
eccentric,clearly unusual (used for people or behavior),adjective,"Mozart was well-known for his eccentric behavior, often speaking words backward to confuse those around him.",Magoosh
indifference,lack of interest,noun,"In an effort to fight indifference, the president of the college introduced a new, stricter grading system.",Magoosh
persevere,to continue to do something even though it's difficult,verb,"Sarah persevered through the storm, fighting through the cold and rain, to make her way home for Christmas.",Magoosh
courteous,polite and respectful,adjective,"Since Tom is usually extremely courteous, his sister was shocked when he served their guests spaghetti using only his hands.",Magoosh
sketch,to create a basic picture or plan quickly,verb,I sketched some of my initial thoughts before beginning work of visuals for the presentation.,Magoosh
distort,to change the shape from what it should be into something different,verb,"The twisted mirror distorted the man's reflection, making him appear twice as tall and far too thin.",Magoosh
conducive,helping to make happen,adjective,Studying in a quiet room is conducive to learning; studying in a noisy environment makes learning harder.,Magoosh
coincide,to happen at the same time,verb,Apple's announcement of the next iPhone coincided with the release of Samsung's newest phone.,Magoosh
extravagant,more than is needed; overly expensive,adjective,"Susie's wedding was extravagant, with a dinner of steak and lobster, invitations decorated with gold, and a ceremony at a castle.",Magoosh
crude,simple and made without skill; not processed,adjective,"Once he realized he had forgotten his tent, Arpit attempted to build a crude shelter out of mud, branches, and leaves.",Magoosh
roam,to move around a large area with little direction or plan,verb,Horses roam freely across the hills of the national park.,Magoosh
abrupt,sudden and unexpected or short,adjective,The careless car in front of Elle came to such an abrupt stop that she didn't have enough time to react and crashed into the car.,Magoosh
abundant,very many; more than enough,adjective,"Although he had an abundant supply of snacks, Jim didn't want to share and lied to his guests that he only had one bag of popcorn.",Magoosh
shimmer,to shine or reflect small bits of light,verb,The silver of her dress shimmered like diamonds every time the light hit it.,Magoosh
defiant,not doing what is ordered,adjective,The teenagers were defiant and refused to help when Mr. Niles ordered them to clean the mess they'd made during their food fight.,Magoosh
disparate,separate and very different,adjective,Studies as disparate as religion and biology have been brought together by research into what happens in the brain during a religious experience.,Magoosh
trigger,to cause to happen,verb,"The sound of a gunshot triggered a panic in the streets, as people ran in every direction, unsure of the source.",Magoosh
extinct,not existing anymore,adjective,The dodo bird has been extinct for more than 350 years—the last confirmed sighting was in 1662.,Magoosh
demolish,to completely destroy,verb,The earthquake completely demolished the old home—no walls were left standing.,Magoosh
revolutionary,very new and creating a big change,adjective,The revolutionary discovery of antibiotics like penicillin completely changed modern medicine.,Magoosh
provided,only if,conjunction,"Provided you study hard for the exam, you should do well enough to pass the class.",Magoosh
complementary,combining well to improve both parts,adjective,"Although no one of the three ingredients in a margarita is delicious alone, the tequila, lime juice, and liqueur together are complementary.",Magoosh
controversial,causing a lot of disagreement,adjective,"When the class debate begins to bore her, Wendy loves to say something controversial and start heated arguments among her classmates.",Magoosh
integral,"very important, necessary",adjective,Sugar is an integral ingredient in any cake recipe.,Magoosh
inclination,a feeling of wanting to choose one option (often a repeated preference),noun,"Although the inclination is to ride a bike nearer to parked cars, they can be more dangerous than moving ones, as a door may open in front of you.",Magoosh
protocol,a set of rules about what to do in formal situations,noun,Jonah followed every step of the protocol carefully to make sure the experiment was performed correctly.,Magoosh
